g_m_t,airport_id,iata_code,city_iata,icao_code,geoname_id,latitude,longitude,airport_name,country
-3,6807,ROY,ROY,SAWM,7730775.0,-45.666668,-70.25,Rio Mayo,Argentina
-3,6830,RSA,RSA,SAZR,6300589.0,-36.566666,-64.26667,Santa Rosa,Argentina
-3,6903,RYO,RYO,,7730777.0,-51.583332,-72.21667,Rio Turbio,Argentina
-3,6904,RZA,RZA,SAWU,6300578.0,-50.0,-68.53333,Santa Cruz,Argentina
-3,6985,SDE,SDE,SANE,6300533.0,-27.765278,-64.32222,Santiago Del Estero,Argentina
-3,7037,SFN,SFN,SAAV,6300515.0,-31.716667,-60.816666,Santa Fe,Argentina
-3,7069,SGV,SGV,SAVS,7730774.0,-41.566666,-65.35,Sierra Grande,Argentina
-3,7172,SLA,SLA,SASA,6300554.0,-24.844217,-65.47849,Gen Belgrano,Argentina
-3,7362,SST,SST,,3428123.0,-33.416668,-60.783333,Santa Teresita,Argentina
-3,7613,TDL,TDL,SAZT,6300591.0,-37.333332,-59.083332,Tandil,Argentina
-3,7946,TTG,TTG,SAST,6300559.0,-22.533333,-63.833332,Tartagal,Argentina
-3,7963,TUC,TUC,SANT,6300537.0,-26.833332,-65.2,Benj Matienzo,Argentina
-3,8043,UAQ,UAQ,SANU,6300538.0,-31.55,-68.51667,San Juan,Argentina
-3,8113,ULA,ULA,SAWJ,6300575.0,-49.316666,-67.666664,San Julian,Argentina
-3,8185,USH,USH,SAWH,6300574.0,-54.839348,-68.31245,Islas Malvinas Argentinas International,Argentina
-3,8232,UZU,UZU,SATU,6300562.0,-29.778889,-58.095554,Curuzu Cuatia,Argentina
-3,8262,VCF,VCF,,7731598.0,-40.7,-66.15,Valcheta,Argentina
-3,8276,VDM,VDM,SAVV,6300568.0,-40.85,-63.016666,Viedma,Argentina
-3,8278,VDR,VDR,SAOD,6300541.0,-31.94111,-65.14222,Villa Dolores,Argentina
-3,8296,VGS,VGS,,7731600.0,-35.083332,-63.0,General Villegas,Argentina
-3,8335,VLG,VLG,SAZV,6300592.0,-38.016666,-57.583332,Villa Gesell,Argentina
-3,8348,VME,VME,SAOR,6300544.0,-33.63333,-65.416664,Villa Mercedes,Argentina
-11,2437,FTI,FTI,NSFQ,5881271.0,-14.216667,-169.45,Fitiuta,American Samoa
-11,5689,OFU,OFU,,5881562.0,-14.166667,-169.7,Airstrip,American Samoa
-11,6257,PPG,PPG,NSTU,5881593.0,-14.326389,-170.6964,Pago Pago International Airport,American Samoa
1,294,ANT,ANT,,0.0,47.15,10.283333,St Anton,Austria
1,2741,GRZ,GRZ,LOWG,6299668.0,46.994125,15.444928,Thalerhof,Austria
1,3027,HOH,HOH,LOIH,6299665.0,47.38333,9.7,Hohenems-Dornbirn,Austria
1,3296,INN,INN,LOWI,6299669.0,47.25745,11.351467,Innsbruck-kranebitten,Austria
1,3904,KLU,KLU,LOWK,3218938.0,46.650124,14.324192,Alpe Adria,Austria
1,4441,LNZ,LNZ,LOWL,6299670.0,48.23987,14.193345,Blue Danube,Austria
1,6455,QDI,HOH,,0.0,47.36081,9.68671,Dornbirn Bus Station,Austria
1,6554,QXZ,QXZ,,0.0,0.0,0.0,Woergl Bus Station,Austria
1,7518,SZG,SZG,LOWS,6299671.0,47.791225,12.997331,W. A. Mozart,Austria
