age_fleet,airline_id,callsign,code_hub,code_iata_airline,code_icao_airline,code_iso2_country,iata_prefix_accounting,name_airline,name_country,size_airline,status_airline,type
0.0,2626,JONAH,UNKNOWN,MJ*,JNH,US,,M & N Aviation,United States,0,active,Unknown
0.0,2666,MAHALO,KOA,MW,MUL,US,415.0,Mokulele Flight Service,United States,0,active,scheduled
0.0,2703,NORTH AMERICAN,JFK,,NAO,US,455.0,North American Airlines,United States,0,active,charter
0.0,2731,Unknown,UNKNOWN,NJ*,,US,,Nordisk Aviation Products,United States,0,active,Unknown
0.0,2781,ORANGE JET,UNKNOWN,O3*,ORN,US,,Orange Air,United States,0,active,Unknown
0.0,2848,EFFEX,UNKNOWN,OQ*,FXA,US,,Sunrise Airlines,United States,0,active,Unknown
0.0,2879,Unknown,AVP,P1,,US,351.0,PublicCharters.com,United States,0,active,scheduled
0.0,2899,PLATINUM WEST,ODC,P8*,PKW,US,,Sierra West Airlines,United States,0,active,cargo
0.0,2935,GRAY BIRD,KVPC,PH*,PHA,US,,Phoenix Air Group,United States,0,active,private
0.0,2959,CLIPPER,UNKNOWN,PN*,PAA,US,,Pan American Airways,United States,0,active,Unknown
0.0,2974,PIEDMONT,SBY,PT,PDT,US,531.0,"Piedmont Airlines, Inc. (U S Airways Express)",United States,0,active,scheduled
0.0,2992,MILE AIR,TKJ,Q5,MLA,US,,"40-Mile Air, Ltd.",United States,0,active,scheduled
0.0,3078,Unknown,UNKNOWN,R1,,US,407.0,"Zapways, Inc.",United States,0,active,Unknown
0.0,3101,AIRLIFT,MIA,RD,AIR,US,,Airlift International,United States,0,active,cargo
0.0,3110,FLO WEST,MIA,RF,FWL,US,330.0,"Florida West International Airways,",United States,0,active,"scheduled,cargo"
0.0,3140,Unknown,UNKNOWN,RN*,,US,,Sum Air Services,United States,0,active,Unknown
0.0,3141,CHAUTAUQUA,IND,RP,CHQ,US,363.0,Chautauqua Airlines Inc.,United States,0,active,scheduled
0.0,3274,Unknown,UNKNOWN,SX*,,US,906.0,Skywagon,United States,0,active,Unknown
0.0,3297,RHOADES EXPRESS,CLU,T4,RDS,US,,Rhoades Aviation Inc.,United States,0,active,cargo
