status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,B738,4D21FE,B738,9H-QAN,FR,RYR,OUD,GMFO,TNG,GMTT,FR6743,RYR6743,6743,9448.8,106.62,35.1688,-3.7592,815.652,0.0,0.0,3441.0,2025-11-14 09:14:52+00:00
en-route,B38M,4CADC4,B38M,EI-IGG,FR,RYR,FUE,GCFV,PSA,LIRP,FR9422,RYR1ST,9422,10378.4,212.0,29.7611,-12.9033,774.136,0.0,0.0,,2025-11-14 09:12:11+00:00
en-route,B738,4D2290,B738,9H-QCM,FR,RYR,BVA,LFOB,OTP,LROP,FR9161,RYR67SH,9161,10972.8,294.83,46.6043,20.7258,767.304,0.0,1.188,,2025-11-14 09:14:52+00:00
started,B38M,4CAE93,B38M,EI-IKE,FR,RYR,LIS,LPPT,RAK,GMMX,FR4391,RYR1YU,4391,0.0,5.0,31.6065,-8.044,0.0,1.0,0.0,,2025-11-14 09:12:45+00:00
en-route,B38M,4CAE68,B38M,EI-IJT,FR,RYR,SVQ,LEZL,DUB,EIDW,FR2703,RYR87EN,2703,472.44,269.6,37.4183,-5.7872,264.852,0.0,-8.208,1164.0,2025-11-14 09:14:52+00:00
en-route,B738,4D2268,B738,9H-QDX,FR,RYR,BCN,LEBL,BGY,LIME,FR847,RYR55HQ,847,3520.44,226.95,41.5229,1.9808,461.232,0.0,-11.7,,2025-11-14 09:14:52+00:00
en-route,B738,4CA80E,B738,EI-EKN,FR,RYR,SCQ,LEST,ACE,GCRR,FR2001,RYR2001,2001,5547.36,15.23,42.263,-8.7778,796.572,0.0,-32.76,,2025-11-14 09:14:52+00:00
en-route,B738,4D227C,B738,9H-QAV,FR,RYR,CPH,EKCH,BUD,LHBP,FR605,RYR6PM,605,11582.4,338.28,53.2505,16.0196,705.708,0.0,0.0,4353.0,2025-11-14 09:14:52+00:00
en-route,B738,48C12D,B738,SP-RKN,FR,RYR,CTA,LICC,BLQ,LIPE,FR1087,RYR82EE,1087,11277.6,151.86,40.4668,14.0314,812.808,0.0,0.0,,2025-11-14 09:14:52+00:00
Unknown,B738,48C124,B738,SP-RKE,FR,RYR,WMI,EPMO,ATH,LGAV,FR3324,RYR5DG,3324,10972.8,345.09,46.5173,22.1447,762.804,0.0,0.0,,2025-11-14 09:14:51+00:00
en-route,B738,4D2225,B738,9H-QEN,FR,RYR,TLS,LFBO,AGA,GMAD,FR3358,RYR75XC,3358,10972.8,29.0,32.7298,-8.5152,866.736,0.0,0.0,,2025-11-14 09:12:47+00:00
en-route,B38M,4CAE92,B38M,EI-IKD,FR,RYR,DUB,EIDW,BVA,LFOB,FR23,RYR9YU,23,5852.16,355.0,50.1059,2.0627,723.168,0.0,45.648,5603.0,2025-11-14 09:14:52+00:00
