airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
UA,UAL,EWR,KEWR,C,2025-11-09 13:50:00+00:00,"[{'airline_code': 'AC', 'flight_number': '2459'}, {'airline_code': 'LH', 'flight_number': '7969'}]",BCN,LEBL,1,2025-11-09 10:50:00+00:00,121,"['N59053', 'N66051', 'N66056', 'N66057', 'N67052', 'N67058', 'N68061', 'N69059', 'N69063', 'N76054', 'N76055', 'N76062', 'N76064', 'N76065', 'N77066', 'N78060']"
UA,UAL,SFO,KSFO,3,2025-11-09 11:41:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '9162'}]",EWR,KEWR,C,2025-11-09 08:30:00+00:00,1210,"['N33132', 'N502UA', 'N505UA', 'N512UA', 'N546UA', 'N568UA', 'N589UA', 'N590UA', 'N596UA', 'N597UA', 'N598UA', 'N68061', 'N76055', 'N27015', 'N37018', 'N69020', 'N77022', 'N78002', 'N78003', 'N78008', 'N78009', 'N79011']"
UA,UAL,ORD,KORD,1,2025-11-09 23:12:00+00:00,Unknown,ATL,KATL,N,2025-11-09 21:46:00+00:00,1211,Unknown
UA,UAL,PVR,MMPR,,2025-11-09 15:05:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5310'}]",SFO,KSFO,INTL,2025-11-09 09:20:00+00:00,1212,"['N458UA', 'N73259', 'N73270', 'N73275', 'N76508', 'N76519', 'N76526', 'N77510', 'N77518', 'N78509', 'N78511', 'N87512', 'N87531', 'N28478', 'N36447', 'N36469', 'N37413', 'N37419', 'N37437', 'N37468', 'N38454', 'N61887', 'N62894', 'N67812', 'N75426', 'N75436', 'N77430', 'N77431']"
UA,UAL,SFO,KSFO,3,2025-11-09 18:25:00+00:00,"[{'airline_code': 'AC', 'flight_number': '5088'}, {'airline_code': 'LH', 'flight_number': '9148'}, {'airline_code': 'NZ', 'flight_number': '9134'}, {'airline_code': 'OS', 'flight_number': '7717'}]",ORD,KORD,1,2025-11-09 15:50:00+00:00,1213,"['N816UA', 'N841UA', 'N847UA', 'N849UA', 'N409UA', 'N415UA', 'N419UA', 'N423UA', 'N437UA', 'N439UA', 'N445UA', 'N452UA', 'N453UA', 'N459UA', 'N464UA', 'N467UA', 'N472UA', 'N475UA', 'N484UA', 'N490UA', 'N492UA', 'N496UA', 'N498UA', 'N12216', 'N12221', 'N12225', 'N16217', 'N24224', 'N35271', 'N37290', 'N54241', 'N73256', 'N73278', 'N76514', 'N76515', 'N76522', 'N76528', 'N77510', 'N77518', 'N77520', 'N78285', 'N87527', 'N37420', 'N39463', 'N39475', 'N47414', 'N61881', 'N66837', 'N104UA', 'N117UA', 'N118UA', 'N122UA', 'N180UA', 'N181UA', 'N197UA', 'N18119', 'N56859', 'N57863', 'N57868', 'N57869', 'N57870', 'N73860', 'N75851', 'N75861', 'N77871', 'N78866']"
UA,UAL,PTY,MPTO,,2025-11-09 04:24:00+00:00,"[{'airline_code': 'CM', 'flight_number': '1925'}]",EWR,KEWR,C,2025-11-09 23:59:00+00:00,1214,"['N28457', 'N36476', 'N37456', 'N37474', 'N39416', 'N39463', 'N39475', 'N61881', 'N62889', 'N66848', 'N68452', 'N69829', 'N69888', 'N73445', 'N75426', 'N75429', 'N78448']"
UA,UAL,EWR,KEWR,C,2025-11-09 06:10:00+00:00,Unknown,PTY,MPTO,,2025-11-09 23:50:00+00:00,1215,"['N36272', 'N36469', 'N38467', 'N57439', 'N61886', 'N62894', 'N66825', 'N66848', 'N66893', 'N68453', 'N68805', 'N68807', 'N69835', 'N73445']"
UA,UAL,IAH,KIAH,C,2025-11-09 07:50:00+00:00,"[{'airline_code': 'AC', 'flight_number': '2291'}, {'airline_code': 'CM', 'flight_number': '2387'}, {'airline_code': 'NH', 'flight_number': '6523'}, {'airline_code': 'NZ', 'flight_number': '6427'}]",MSY,KMSY,,2025-11-09 06:31:00+00:00,1216,Unknown
UA,UAL,IAH,KIAH,C,2025-11-09 14:19:00+00:00,Unknown,LAS,KLAS,3,2025-11-09 09:15:00+00:00,1217,Unknown
UA,UAL,IAH,KIAH,C,2025-11-09 23:58:00+00:00,"[{'airline_code': 'LH', 'flight_number': '7494'}, {'airline_code': 'NZ', 'flight_number': '6677'}, {'airline_code': 'OZ', 'flight_number': '9531'}, {'airline_code': 'SK', 'flight_number': '8841'}]",ORD,KORD,1,2025-11-09 21:15:00+00:00,1218,"['N17730', 'N76508', 'N39418', 'N39461', 'N75435']"
UA,UAL,IAD,KIAD,,2025-11-09 05:16:00+00:00,"[{'airline_code': 'NZ', 'flight_number': '9168'}, {'airline_code': 'OZ', 'flight_number': '6288'}]",LAX,KLAX,7,2025-11-09 21:15:00+00:00,1219,"['N38257', 'N77530', 'N62894', 'N67845', 'N68836', 'N68880', 'N69804', 'N69816', 'N69819', 'N69833', 'N69839']"
