airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
VX,VRD,SFO,KSFO,2,2025-11-22 08:40:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1439'}, {'airline_code': 'CZ', 'flight_number': '1877'}, {'airline_code': 'AS', 'flight_number': '1861'}]",DEN,KDEN,,2025-11-22 06:55:00+00:00,1861,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 13:40:00+00:00,"[{'airline_code': 'CZ', 'flight_number': '1965'}]",EWR,KEWR,A,2025-11-22 10:30:00+00:00,187,"['N361VA', 'N362VA', 'N363VA', 'N623VA', 'N624VA', 'N625VA', 'N628VA', 'N630VA', 'N633VA', 'N635VA', 'N636VA', 'N637VA', 'N638VA', 'N639VA', 'N640VA', 'N835VA', 'N836VA', 'N837VA', 'N838VA', 'N839VA', 'N840VA', 'N841VA', 'N842VA', 'N843VA', 'N844VA', 'N845VA', 'N846VA', 'N847VA', 'N848VA', 'N849VA', 'N851VA', 'N852VA', 'N853VA', 'N854VA', 'N855VA']"
VX,VRD,LAX,KLAX,6,2025-11-22 09:04:00+00:00,"[{'airline_code': 'HA', 'flight_number': '2505'}, {'airline_code': 'VA', 'flight_number': '5243'}, {'airline_code': 'MU', 'flight_number': '3873'}, {'airline_code': 'AS', 'flight_number': '1871'}, {'airline_code': 'SQ', 'flight_number': '1373'}, {'airline_code': 'CZ', 'flight_number': '1903'}, {'airline_code': 'CI', 'flight_number': '9601'}]",DAL,KDAL,,2025-11-22 07:50:00+00:00,1871,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 10:15:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1874'}]",SEA,KSEA,D,2025-11-22 07:35:00+00:00,1874,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 08:44:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1881'}, {'airline_code': 'CI', 'flight_number': '9601'}, {'airline_code': 'SQ', 'flight_number': '1373'}, {'airline_code': 'VA', 'flight_number': '5243'}]",DAL,KDAL,,2025-11-22 07:20:00+00:00,1881,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 11:57:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1377'}, {'airline_code': 'VA', 'flight_number': '5271'}, {'airline_code': 'CI', 'flight_number': '9603'}, {'airline_code': 'AS', 'flight_number': '1883'}]",DAL,KDAL,,2025-11-22 10:25:00+00:00,1883,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 09:40:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1888'}, {'airline_code': 'CI', 'flight_number': '9578'}]",SFO,KSFO,2,2025-11-22 08:00:00+00:00,1888,Unknown
VX,VRD,LAX,KLAX,6,2025-11-22 07:23:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1890'}]",SFO,KSFO,2,2025-11-22 05:50:00+00:00,1890,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 08:25:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1892'}]",SFO,KSFO,2,2025-11-22 07:00:00+00:00,1892,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 10:45:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1893'}]",LAS,KLAS,3,2025-11-22 09:10:00+00:00,1893,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 08:27:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1894'}, {'airline_code': 'SQ', 'flight_number': '1332'}]",SFO,KSFO,2,2025-11-22 06:55:00+00:00,1894,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 09:07:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1396'}, {'airline_code': 'AS', 'flight_number': '1896'}]",SFO,KSFO,2,2025-11-22 07:35:00+00:00,1896,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 08:15:00+00:00,"[{'airline_code': 'HA', 'flight_number': '2604'}, {'airline_code': 'AS', 'flight_number': '1897'}, {'airline_code': 'MU', 'flight_number': '8034'}, {'airline_code': 'SQ', 'flight_number': '1330'}]",LAS,KLAS,3,2025-11-22 06:48:00+00:00,1897,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 09:37:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1333'}, {'airline_code': 'AS', 'flight_number': '1898'}]",SFO,KSFO,2,2025-11-22 08:05:00+00:00,1898,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 09:51:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9595'}, {'airline_code': 'AS', 'flight_number': '1899'}]",LAX,KLAX,6,2025-11-22 08:20:00+00:00,1899,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 08:02:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1400'}, {'airline_code': 'AS', 'flight_number': '1900'}]",SFO,KSFO,2,2025-11-22 06:30:00+00:00,1900,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 11:30:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1431'}]",LAS,KLAS,3,2025-11-22 10:00:00+00:00,1901,Unknown
VX,VRD,LAS,KLAS,3,2025-11-22 10:44:00+00:00,"[{'airline_code': 'SQ', 'flight_number': '1404'}, {'airline_code': 'AS', 'flight_number': '1902'}, {'airline_code': 'CI', 'flight_number': '9652'}]",SFO,KSFO,2,2025-11-22 09:15:00+00:00,1902,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 11:35:00+00:00,"[{'airline_code': 'CI', 'flight_number': '9615'}, {'airline_code': 'AS', 'flight_number': '1903'}]",LAS,KLAS,3,2025-11-22 10:00:00+00:00,1903,Unknown
VX,VRD,SFO,KSFO,2,2025-11-22 10:55:00+00:00,"[{'airline_code': 'HA', 'flight_number': '2504'}, {'airline_code': 'AS', 'flight_number': '1905'}]",LAS,KLAS,3,2025-11-22 09:17:00+00:00,1905,Unknown
