status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTGVT,XXF,114.3,30.0,20.448,71.9372,187.052,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTRRH,XXF,1767.84,347.0,33.0275,74.9364,177.792,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,SAG27B,XXF,129.54,332.0,22.2426,113.614,170.384,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TCTKD,XXF,838.2,164.0,39.9463,32.7021,942.668,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5YPRL,XXF,1074.42,38.0,-2.6696,37.282,22.224,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CSS364,XXF,739.14,153.0,22.7669,113.741,277.8,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,AAR371,XXF,762.0,153.0,22.585,113.84,322.248,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,PKDPI,XXF,1821.18,185.0,-6.6689,107.414,288.912,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,STA1602,XXF,1280.16,21.0,27.6965,85.3591,74.08,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,KAOS21,XXF,480.06,183.0,-27.6003,152.686,335.212,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,AZO6024,XXF,10332.7,205.0,53.6725,59.3798,833.4,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,MMA425,XXF,2049.78,144.0,17.2335,96.0588,490.78,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,USA451,XXF,3970.02,128.0,40.5895,70.0285,340.768,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,HVN9752,XXF,5532.12,43.0,11.8159,108.624,733.392,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,4XOGM,XXF,624.84,171.0,31.7705,35.0323,314.84,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,9SGDP,XXF,2880.36,353.0,-10.8652,27.5932,346.324,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,4XHCA,XXF,518.16,203.0,31.749,35.0292,92.6,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,FHXPA,XXF,312.42,64.0,46.8945,-2.1462,251.872,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,DE,XXF,1501.14,86.0,32.5064,35.9038,277.8,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N509DV,XXF,777.24,317.0,47.6859,-117.299,116.676,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,FVS102,XXF,1615.44,126.0,24.6134,54.1925,468.556,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BB,XXF,1699.26,146.0,32.5185,35.9509,92.6,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BD681,XXF,678.18,342.0,-33.4844,115.736,322.248,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTRDS,XXF,548.64,78.0,30.1875,78.1654,259.28,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,JA303G,XXF,3878.58,35.0,36.0526,137.83,535.228,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N1026V,XXF,213.36,90.0,61.1698,-150.032,251.872,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,4XBOA,XXF,236.22,330.0,31.9355,34.8727,181.496,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,TCCES,XXF,990.6,113.0,39.9371,32.6699,159.272,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5HTFE,XXF,2590.8,187.0,-2.0744,34.8436,303.728,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,MRJ4855,XXF,8534.4,246.0,36.1414,65.4091,770.432,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N4599X,XXF,457.2,4.0,15.049,145.64,179.644,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,N462DL,XXF,594.36,16.0,44.9224,-85.2276,157.42,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,ZUX,XXF,53.34,335.0,-16.888,145.753,55.56,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,HBAL787,XXF,17952.7,85.0,30.1303,-74.2315,51.856,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTAMR,XXF,647.7,236.0,21.2989,74.9878,161.124,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,MMT,XXF,563.88,235.0,-14.5236,132.459,190.756,2025-11-08 06:32:19+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BM,XXF,2057.4,261.0,32.4865,35.9421,246.316,2025-11-08 06:32:19+00:00
