GMT,cityId,codeIataCity,codeIso2Country,geonameId,latitudeCity,longitudeCity,nameCity,timezone
-3,1438,CPC,AR,3836951,-40.066666,-71.13333,San Martin DeLos Andes,America/Argentina/Salta
-3,1442,CPG,AR,0,-40.833332,-63.0,Carmen De Patagones,America/Argentina/Buenos_Aires
-3,1465,CRD,AR,3860443,-45.787224,-67.462776,Comodoro Rivadavia,America/Argentina/Catamarca
-3,1474,CRR,AR,0,-29.916668,-61.833332,Ceres,America/Argentina/Cordoba
-3,1508,CSZ,AR,0,-37.433334,-61.88333,Coronel Suarez,America/Argentina/Buenos_Aires
-3,1511,CTC,AR,3837702,-28.448334,-65.779724,Catamarca,America/Argentina/Catamarca
-3,1551,CUT,AR,0,-38.9,-69.0,Cutral,America/Argentina/Salta
-3,1562,CVH,AR,8556186,-37.916668,-71.0,Caviahue,America/Argentina/Salta
-3,1563,CVI,AR,3860443,-46.416668,-67.416664,Caleta Olivia,America/Argentina/Catamarca
-3,1982,EHL,AR,3858765,-42.0,-71.75,El Bolson,America/Argentina/Salta
-3,2020,ELO,AR,3429777,-26.5,-54.733334,Eldorado,America/Argentina/Cordoba
-3,2044,EMX,AR,7647007,-42.033333,-71.15,El Maiten,America/Argentina/Salta
-3,2069,EPA,AR,3435910,-34.608334,-58.6125,El Palomar,America/Argentina/Buenos_Aires
-3,2079,EQS,AR,3855974,-42.90972,-71.1425,Esquel,America/Argentina/Catamarca
-3,2266,FMA,AR,3433899,-26.212778,-58.235,Formosa,America/Argentina/Cordoba
-3,2345,FTE,AR,3858677,-50.284225,-72.053696,El Calafate,America/Argentina/Rio_Gallegos
-3,2490,GGS,AR,0,-48.766666,-70.25,Gobernador Gregores,America/Argentina/Rio_Gallegos
-3,2501,GHU,AR,3433658,-33.004166,-58.61222,Gualeguaychu,America/Argentina/Cordoba
-3,2573,GNR,AR,3843123,-39.983334,-67.6,General Roca,America/Argentina/Salta
-3,2607,GPO,AR,3833875,-35.63333,-63.766666,General Pico,America/Argentina/Buenos_Aires
-3,2912,HOS,AR,3861262,-37.416668,-70.21667,Chos Malal,America/Argentina/Salta
-3,3082,IGB,AR,0,-41.3,-69.583336,Ingeniero Jacobacci,America/Argentina/Salta
-3,3090,IGR,AR,3429777,-25.731504,-54.47635,Iguazu,America/Argentina/Cordoba
-3,3154,ING,AR,3858677,-50.583332,-72.666664,Lago Argentino,America/Argentina/Rio_Gallegos
-3,3204,IRJ,AR,3848950,-29.383333,-66.78333,La Rioja,America/Argentina/La_Rioja
-3,3397,JNI,AR,0,-34.583332,-60.966667,Junin,America/Argentina/Buenos_Aires
-3,3432,JSM,AR,0,-44.066666,-70.433334,Jose De San Martin,America/Argentina/Catamarca
-3,3447,JUJ,AR,3836564,-24.4,-65.083336,Jujuy,America/Argentina/Jujuy
-3,4028,LCM,AR,3860259,-30.966667,-64.5,La Cumbre,America/Argentina/Cordoba
-3,4031,LCP,AR,8556186,-38.083332,-70.666664,Loncopue,America/Argentina/Salta
-3,4107,LGS,AR,3845181,-35.5,-69.583336,Malargue,America/Argentina/Mendoza
-3,4121,LHS,AR,0,-32.85,-68.816666,Las Heras,America/Argentina/Rio_Gallegos
-3,4182,LLS,AR,0,-24.716667,-60.583332,Las Lomitas,America/Argentina/Cordoba
-3,4191,LMD,AR,0,-40.833332,-68.13333,Los Menucos,America/Argentina/Salta
-3,4257,LPG,AR,3435910,-34.916668,-57.95,La Plata,America/Argentina/Buenos_Aires
-3,4352,LUQ,AR,3837056,-33.274445,-66.35861,San Luis,America/Argentina/San_Luis
-3,4483,MCS,AR,3430598,-30.270832,-57.64111,Monte Caseros,America/Argentina/Cordoba
-3,4505,MDQ,AR,3430863,-37.934723,-57.572224,Mar Del Plata,America/Argentina/Buenos_Aires
-3,4510,MDX,AR,0,-29.167221,-58.075558,Mercedes,America/Argentina/Cordoba
-3,4512,MDZ,AR,3844421,-32.82789,-68.79891,Mendoza,America/Argentina/Mendoza
-3,4646,MJR,AR,3430668,-38.25,-57.833332,Miramar,America/Argentina/Buenos_Aires
-3,4804,MQD,AR,0,-41.25,-68.73333,Maquinchao,America/Argentina/Salta
-3,5083,NCJ,AR,3834971,-30.94404,-61.56148,Sunchales,America/Argentina/Cordoba
-3,5113,NEC,AR,3430443,-38.566666,-58.75,Necochea,America/Argentina/Buenos_Aires
-3,5249,NQN,AR,3843123,-38.95,-68.15222,Neuquen,America/Argentina/Salta
-3,5404,OES,AR,0,-40.733334,-64.95,San Antonio Oeste,America/Argentina/Salta
-3,5472,OLN,AR,0,-45.57,-69.0,Colonia Sarmiento,America/Argentina/Catamarca
-3,5532,ORA,AR,3846915,-23.333332,-64.166664,Oran,America/Argentina/Jujuy
-3,5615,OVR,AR,0,-36.88889,-60.22778,Olavarria,America/Argentina/Buenos_Aires
-3,5629,OYA,AR,3433715,-29.103333,-59.216667,Goya,America/Argentina/Cordoba
-3,5635,OYO,AR,0,-38.36667,-60.25,Tres Arroyos,America/Argentina/Buenos_Aires
-3,5743,PEH,AR,3833875,-35.85,-61.86667,Pehuajo,America/Argentina/Buenos_Aires
-3,5897,PMQ,AR,3841475,-46.53639,-70.98361,Perito Moreno,America/Argentina/Rio_Gallegos
-3,5905,PMY,AR,3840092,-42.733334,-65.066666,Puerto Madryn,America/Argentina/Catamarca
-3,5983,PRA,AR,3841956,-31.795,-60.48,Parana,America/Argentina/Cordoba
-3,5999,PRQ,AR,0,-26.833332,-60.666668,Pres. Roque Saenz Pena,America/Argentina/Cordoba
-3,6025,PSS,AR,3429886,-27.383888,-55.9675,Posadas,America/Argentina/Cordoba
-3,6061,PUD,AR,0,-47.75,-65.916664,Puerto Deseado,America/Argentina/Rio_Gallegos
-3,6241,RAF,AR,3839479,29.6,34.85,Rafaela,America/Argentina/Cordoba
