GMT,airportId,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,geonameId,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
-6,182,AIO,AIO,KAIO,US,4847395,41.4,-95.01667,Municipal,United States,,America/Chicago
-6,188,AIV,AIV,KAIV,US,4829885,33.13333,-88.15,George Downer,United States,,America/Chicago
-6,190,AIZ,AIZ,KAIZ,US,4394825,38.09833,-92.54722,Lee C Fine Memorial,United States,,America/Chicago
-10,203,AKB,AKB,PAAK,US,5879733,52.21722,-174.20084,Atka,United States,,America/Adak
-5,204,AKC,CAK,KAKR,US,5145491,41.04,-81.46778,Fulton International,United States,,America/New_York
-9,210,AKI,AKI,PFAK,US,5878993,60.905556,-161.22333,Akiak,United States,,America/Anchorage
-9,212,AKK,AKK,PAKH,US,5878982,56.944443,-154.16667,Akhiok SPB,United States,,America/Anchorage
-9,215,AKN,AKN,PAKN,US,5866330,58.68274,-156.66902,King Salmon,United States,,America/Anchorage
-7,216,AKO,AKO,KAKO,US,5574204,40.166668,-103.21667,Colorado Plains Regional Airport,United States,,America/Denver
-9,217,AKP,AKP,PAKP,US,5879389,68.1375,-151.74,Anaktuvuk,United States,,America/Anchorage
-5,228,ALB,ALB,KALB,US,5106842,42.745277,-73.809555,Albany International,United States,518-242-2200,America/New_York
-6,231,ALE,ALE,KE38,US,5516210,30.416668,-103.75,Alpine,United States,,America/Chicago
-6,235,ALI,ALI,KALI,US,4670241,27.75,-98.066666,Alice International Airport,United States,,America/Chicago
-7,239,ALM,ALM,KALM,US,5454632,32.845833,-105.985275,Municipal,United States,,America/Denver
-6,240,ALN,ALN,KALN,US,4248995,38.891666,-90.04833,Alton,United States,,America/Chicago
-6,241,ALO,ALO,KALO,US,4880900,42.55611,-92.39972,Waterloo,United States,,America/Chicago
-7,245,ALS,ALS,KALS,US,5437699,37.43667,-105.86667,Municipal,United States,,America/Denver
-8,248,ALW,ALW,KALW,US,5814917,46.094723,-118.291115,Walla Walla,United States,,America/Los_Angeles
-6,249,ALX,ALX,ALX_,US,4829843,32.933334,-85.95,Thomas C Russell Field,United States,,America/Chicago
-9,251,ALZ,ALZ,,US,5879209,56.895832,-154.24583,Alitak SPB,United States,,America/Anchorage
-6,252,AMA,AMA,KAMA,US,5516243,35.218273,-101.70513,Rick Husband Amarillo International,United States,806-335-1671,America/Chicago
-7,261,AMK,DRO,,US,5411873,37.15,-107.75,Animas Airpark,United States,,America/Denver
-5,263,AMN,AMN,KAMN,US,4994536,43.38333,-84.65,Gratiot Community,United States,,America/Detroit
-6,272,AMW,AMW,KAMW,US,4846850,41.994167,-93.61833,Ames,United States,,America/Chicago
-8,276,ANA,ANA,,US,5323810,33.816666,-117.933334,John Wayne International,United States,,America/Los_Angeles
-6,277,ANB,ANB,KANB,US,4830211,33.59028,-85.855835,Anniston Metropolitan,United States,,America/Chicago
-9,278,ANC,ANC,PANC,US,5879400,61.174442,-149.99638,Ted Stevens Anchorage International Airport,United States,907-266-2526,America/Anchorage
-5,279,AND,AND,KAND,US,4569314,34.49361,-82.71,Anderson,United States,,America/New_York
-9,283,ANI,ANI,PANI,US,5879490,61.574398,-159.53697,Aniak,United States,,America/Anchorage
-9,288,ANN,ANN,PANT,US,5557843,55.036945,-131.57056,Annette Island,United States,,America/Metlakatla
-5,290,ANP,ANP,KANP,US,4360491,38.983334,-76.5,Lee,United States,,America/New_York
-5,291,ANQ,ANQ,KANQ,US,4927311,41.63333,-85.0,Tri-State Steuben County,United States,,America/Indiana/Indianapolis
-9,296,ANV,ANV,PANV,US,5879553,62.647778,-160.18889,Anvik,United States,,America/Anchorage
-6,297,ANW,ANW,KANW,US,5062776,42.55,-99.86667,Ainsworth,United States,,America/Chicago
-6,299,ANY,ANY,KANY,US,4267608,37.15,-98.03333,Anthony,United States,,America/Chicago
-5,306,AOH,AOH,KAOH,US,5160784,40.766666,-84.1,Allen County,United States,,America/New_York
-5,313,AOO,AOO,KAOO,US,5200055,40.297222,-78.32,Martinsburg,United States,,America/New_York
-9,316,AOS,AOS,,US,5879326,57.466667,-153.83333,Amook,United States,,America/Anchorage
-7,319,APA,DEN,KAPA,US,5412057,39.733334,-104.98333,Arapahoe Co,United States,,America/Denver
-8,321,APC,APC,KAPC,US,5376102,38.212223,-122.28,Napa County,United States,,America/Los_Angeles
-5,323,APF,APF,KAPF,US,4165575,26.152779,-81.775276,Naples,United States,,America/New_York
-5,324,APG,APG,,US,0,39.5,-76.166664,Phillips AAF,United States,,America/New_York
-5,325,APH,APH,,US,0,38.05,-77.35,Camp A P Hill,United States,,America/New_York
-5,329,APN,APN,KAPN,US,4984078,45.08167,-83.55583,Alpena County Regional,United States,,America/Detroit
-6,335,APT,APT,,US,0,35.066666,-85.5,Marion County,United States,,America/Chicago
-8,337,APV,APV,KAPV,US,5324369,34.52639,-117.212776,Apple Valley,United States,,America/Los_Angeles
-9,349,AQY,AQY,,US,5879267,60.966667,-149.11667,Alyeska,United States,,America/Anchorage
-6,350,ARA,ARA,KARA,US,4334971,30.037779,-91.88389,Acadiana Regional,United States,,America/Chicago
-5,351,ARB,ARB,KARB,US,4984248,42.3,-83.75,Municipal,United States,,America/Detroit
-9,352,ARC,ARC,PARC,US,5879636,68.1375,-145.52444,Arctic Village,United States,,America/Anchorage
-6,356,ARG,ARG,KARG,US,4135213,36.066666,-90.95,Walnut Ridge,United States,,America/Chicago
-5,369,ART,ART,KART,US,5143399,43.990833,-76.021385,Watertown,United States,,America/New_York
-6,371,ARV,ARV,KARV,US,5263156,45.924168,-89.73222,Noble F. Lee,United States,,America/Chicago
-7,379,ASE,ASE,KASE,US,5412276,39.219685,-106.864685,Aspen,United States,,America/Denver
-5,382,ASH,ASH,KASH,US,5090046,42.77889,-71.509445,Boire Field,United States,,America/New_York
-6,386,ASL,ASL,KASL,US,4709272,32.55,-94.38333,Harrison County,United States,,America/Chicago
-6,388,ASN,ASN,KASN,US,4092812,33.433334,-86.1,Talladega,United States,,America/Chicago
-8,391,ASQ,ASQ,KTMT,US,5499538,39.466667,-117.166664,Austin,United States,,America/Los_Angeles
