status,type,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared
landed,arrival,8990D4,B77W,B-16705,TG,THA,Thai Airways International,2025-11-14T11:08:00.000,2025-11-14T11:08:00.000,19,,2025-11-14T11:08:00.000,2025-11-14T11:06:00.000,D6,BKK,VTBS,2025-11-14T11:30:00.000,1,br,eva,eva air,br211,eva211,211,2025-11-14T08:52:00.000,2025-11-14T08:52:00.000,,28,2025-11-14T08:52:00.000,2025-11-14T08:25:00.000,C5,TPE,RCTP,2025-11-14T08:25:00.000,2,TG6315,THA6315,6315,
landed,arrival,885303,A320,HS-TXC,TG,THA,Thai Airways International,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,12,32,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,,BKK,VTBS,2025-11-14T10:35:00.000,1,,,,,,,2025-11-14T08:43:00.000,2025-11-14T08:43:00.000,,64,2025-11-14T08:43:00.000,2025-11-14T08:15:00.000,B1R,TPE,RCTP,2025-11-14T07:40:00.000,1,TG637,THA637,637,
landed,arrival,899039,B77W,B-16735,BR,EVA,EVA Air,2025-11-14T11:01:00.000,2025-11-14T11:01:00.000,15,,2025-11-14T11:01:00.000,2025-11-14T10:59:00.000,F6,BKK,VTBS,2025-11-14T11:10:00.000,1,,,,,,,2025-11-14T08:48:00.000,2025-11-14T08:48:00.000,,43,2025-11-14T08:48:00.000,2025-11-14T08:37:00.000,C7,TPE,RCTP,2025-11-14T08:05:00.000,2,BR67,EVA67,67,
landed,arrival,8990D4,B77W,B-16705,AI,AIC,Air India,2025-11-14T11:08:00.000,2025-11-14T11:08:00.000,19,,2025-11-14T11:08:00.000,2025-11-14T11:06:00.000,D6,BKK,VTBS,2025-11-14T11:30:00.000,1,br,eva,eva air,br211,eva211,211,2025-11-14T08:52:00.000,2025-11-14T08:52:00.000,,28,2025-11-14T08:52:00.000,2025-11-14T08:25:00.000,C5,TPE,RCTP,2025-11-14T08:25:00.000,2,AI7051,AIC7051,7051,
landed,arrival,899039,B77W,B-16735,AI,AIC,Air India,2025-11-14T11:01:00.000,2025-11-14T11:01:00.000,15,,2025-11-14T11:01:00.000,2025-11-14T10:59:00.000,F6,BKK,VTBS,2025-11-14T11:10:00.000,1,br,eva,eva air,br67,eva67,67,2025-11-14T08:48:00.000,2025-11-14T08:48:00.000,,43,2025-11-14T08:48:00.000,2025-11-14T08:37:00.000,C7,TPE,RCTP,2025-11-14T08:05:00.000,2,AI7053,AIC7053,7053,
landed,arrival,8991E8,A359,B-58505,JX,SJX,STARLUX,2025-11-14T12:11:00.000,2025-11-14T12:11:00.000,9,,2025-11-14T12:11:00.000,2025-11-14T12:09:00.000,S116,BKK,VTBS,2025-11-14T12:35:00.000,1,,,,,,,2025-11-14T09:53:00.000,2025-11-14T09:53:00.000,,29,2025-11-14T09:53:00.000,2025-11-14T09:25:00.000,3,TPE,RCTP,2025-11-14T09:25:00.000,2,JX741,SJX741,741,
landed,arrival,89901C,B77W,B-18002,CI,CAL,China Airlines,2025-11-14T12:42:00.000,2025-11-14T12:42:00.000,15,,2025-11-14T12:42:00.000,2025-11-14T12:41:00.000,D3,BKK,VTBS,2025-11-14T13:05:00.000,1,,,,,,,2025-11-14T10:27:00.000,2025-11-14T10:27:00.000,,22,2025-11-14T10:27:00.000,2025-11-14T10:13:00.000,11,TPE,RCTP,2025-11-14T10:05:00.000,1,CI831,CAL831,831,
landed,arrival,8991B4,A333,B-18306,CI,CAL,China Airlines,2025-11-14T09:50:00.000,2025-11-14T09:50:00.000,15,1,2025-11-14T09:50:00.000,2025-11-14T09:44:00.000,D2,BKK,VTBS,2025-11-14T09:50:00.000,1,,,,,,,2025-11-14T07:22:00.000,2025-11-14T07:22:00.000,,22,2025-11-14T07:22:00.000,2025-11-14T07:17:00.000,8,TPE,RCTP,2025-11-14T07:00:00.000,1,CI833,CAL833,833,
landed,arrival,885303,A320,HS-TXC,LY,ELY,El Al,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,12,32,2025-11-14T11:06:00.000,2025-11-14T11:06:00.000,,BKK,VTBS,2025-11-14T10:35:00.000,1,tg,tha,thai airways international,tg637,tha637,637,2025-11-14T08:43:00.000,2025-11-14T08:43:00.000,,64,2025-11-14T08:43:00.000,2025-11-14T08:15:00.000,B1R,TPE,RCTP,2025-11-14T07:40:00.000,1,LY8403,ELY8403,8403,
scheduled,arrival,885967,A321,HS-VKG,VJ,VJC,VietJet Air,,,,,,,,BKK,VTBS,2025-11-14T18:40:00.000,1,,,,,,,,,,50,,2025-11-14T16:35:00.000,2,TPE,RCTP,2025-11-14T15:45:00.000,1,VJ567,VJC567,567,
scheduled,arrival,885962,A320,HS-VKB,VJ,VJC,VietJet Air,,,,,,,,BKK,VTBS,2025-11-14T17:30:00.000,1,,,,,,,,,,10,,2025-11-14T14:40:00.000,3,TPE,RCTP,2025-11-14T14:30:00.000,1,VJ571,VJC571,571,
scheduled,arrival,8991B9,A333,B-18311,CI,CAL,China Airlines,,,15,17,,2025-11-14T17:01:00.000,E7,BKK,VTBS,2025-11-14T16:45:00.000,1,,,,,,,2025-11-14T14:40:00.000,2025-11-14T14:40:00.000,,50,2025-11-14T14:40:00.000,2025-11-14T13:50:00.000,11,TPE,RCTP,2025-11-14T13:50:00.000,1,CI835,CAL835,835,
landed,arrival,885312,A320,HS-TXR,TG,THA,Thai Airways International,2025-11-14T09:46:00.000,2025-11-14T09:46:00.000,2,2,2025-11-14T09:46:00.000,2025-11-14T09:45:00.000,,BKK,VTBS,2025-11-14T09:45:00.000,1,,,,,,,2025-11-14T08:45:00.000,2025-11-14T08:45:00.000,,5,2025-11-14T08:45:00.000,,,UBP,VTUU,2025-11-14T08:40:00.000,,TG21,THA21,21,
