status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,A333,AAE6D5,A333,N801NW,DL,DAL,AMS,EHAM,SLC,KSLC,DL56,DAL56,56,868.68,179.0,52.5524,4.7286,333.36,0.0,0.0,,1763109147
en-route,A339,A4B470,A339,N402DX,DL,DAL,LHR,EGLL,DTW,KDTW,DL16,DAL16,16,5303.52,96.0,51.3762,-2.0133,766.728,0.0,0.0,,1763109136
en-route,A321,A05F37,A321,N123DW,DL,DAL,ATL,KATL,DEN,KDEN,DL302,DAL302,302,11277.6,109.0,38.5303,-99.0202,959.336,0.0,0.0,,1763109054
en-route,A321,A32368,A321,N301DV,DL,DAL,SLC,KSLC,EWR,KEWR,DL1135,DAL1135,1135,5585.46,308.0,40.1764,-111.664,650.052,0.0,0.0,,1763109117
en-route,A21N,A6A33F,A21N,N527DE,DL,DAL,BOS,KBOS,SAN,KSAN,DL402,DAL402,402,10668.0,70.0,40.7057,-101.114,948.224,0.0,0.0,,1763109102
en-route,B752,A939E8,B752,N694DL,DL,DAL,ATL,KATL,SFO,KSFO,DL495,DAL495,495,10668.0,89.0,39.4323,-108.14,976.004,0.0,0.0,,1763109119
en-route,B764,AB4BF7,B764,N827MH,DL,DAL,MUC,EDDM,ATL,KATL,DL130,DAL130,130,1379.22,115.0,48.3541,11.4095,422.256,0.0,0.0,,1763109115
en-route,A21N,A7AC8F,A21N,N594DA,DL,DAL,TPA,KTPA,SLC,KSLC,DL2077,DAL2077,2077,10668.0,105.0,36.853,-96.7565,963.04,0.0,0.0,,1763109054
en-route,A321,A402DD,A321,N358DN,DL,DAL,MSP,KMSP,PHX,KPHX,DL2249,DAL2249,2249,11887.2,72.0,35.0048,-106.969,914.888,0.0,0.0,,1763109118
landed,A339,A51D6F,A339,N429DX,DL,DAL,CDG,LFPG,BOS,KBOS,DL224,DAL224,224,0.0,264.0,49.0009,2.5622,0.0,1.0,0.0,,1763109095
en-route,A339,A4DBEF,A339,N412DX,DL,DAL,ATL,KATL,EZE,SAEZ,DL110,DAL110,110,11582.4,339.0,23.2079,-78.1406,827.844,0.0,0.0,,1763109156
en-route,B763,A13386,B763,N177DN,DL,DAL,ATL,KATL,LAS,KLAS,DL573,DAL573,573,11887.2,97.0,35.8856,-96.5227,972.3,0.0,0.0,,1763109055
en-route,A321,A46A7E,A321,N384DN,DL,DAL,ATL,KATL,SAN,KSAN,DL819,DAL819,819,10668.0,86.0,35.0209,-102.639,940.816,0.0,0.0,,1763109036
en-route,A21N,A67805,A21N,N516DA,DL,DAL,MCO,KMCO,LAX,KLAX,DL547,DAL547,547,10668.0,102.0,31.7769,-101.17,890.812,0.0,0.0,,1763109149
en-route,A333,AAF1FA,A333,N804NW,DL,DAL,MSP,KMSP,HNL,PHNL,DL313,DAL313,313,11887.2,40.0,35.4362,-120.569,1061.2,0.0,0.0,,1763109118
en-route,B764,AB8FD0,B764,N844MH,DL,DAL,ZRH,LSZH,JFK,KJFK,DL52,DAL52,52,11582.4,93.0,49.4154,-6.9145,837.104,0.0,0.0,,1763109115
en-route,A339,A52EA4,A339,N433DX,DL,DAL,FCO,LIRF,JFK,KJFK,DL230,DAL230,230,7018.02,116.0,42.6464,10.7044,720.428,0.0,0.0,,1763109139
en-route,B763,A1574E,B763,N186DN,DL,DAL,JFK,KJFK,LAX,KLAX,DL915,DAL915,915,5074.92,59.0,34.2386,-117.585,803.768,0.0,0.0,,1763109134
en-route,A339,A52736,A339,N431DX,DL,DAL,JFK,KJFK,GRU,SBGR,DL226,DAL226,226,12192.0,336.0,35.0508,-70.3567,770.432,0.0,0.0,,1763109126
en-route,B764,AB8862,B764,N842MH,DL,DAL,MXP,LIMC,JFK,KJFK,DL184,DAL184,184,11277.6,111.0,47.1513,-0.3102,831.548,0.0,0.0,,1763109140
